n_features,features,train_rmse,test_mae,test_rmse,test_r2,intercept,coefficients_json
3,feat_median_hh_income|feat_poverty_rate|unsheltered_homeless,201.48810068878404,137.0057587197273,190.55589281171893,-0.006039144138048291,41.426231235038685,"{""feat_median_hh_income"":0.00027559708115442464,""feat_poverty_rate"":538.3550442997499,""unsheltered_homeless"":-9.130748428331168e-05}"
3,feat_poverty_rate|feat_unemployment_rate|unsheltered_homeless,201.44029444467697,137.1399152508503,190.55989478160453,-0.006081401352734828,-197.27242790471124,"{""feat_poverty_rate"":-586.4772284265749,""feat_unemployment_rate"":6408.656618966937,""unsheltered_homeless"":-9.201618027898898e-05}"
1,overall_homeless,201.56397999913875,137.53345003418676,190.57960395990472,-0.0062895255562323005,135.01432030622587,"{""overall_homeless"":-8.197309444918431e-05}"
4,feat_poverty_rate|feat_total_population|overall_homeless|unsheltered_homeless,201.2879574852501,137.137125741614,190.5805626049421,-0.006299649167217147,-849.6426882798384,"{""feat_poverty_rate"":426.5899074863226,""feat_total_population"":1.8491149716835124e-05,""overall_homeless"":-0.0007839701338337558,""unsheltered_homeless"":0.0009801418581187585}"
3,feat_median_hh_income|feat_poverty_rate|overall_homeless,201.4537042878937,137.0789111677525,190.6743208117924,-0.007290013109354954,43.38828522690072,"{""feat_median_hh_income"":0.00028980603438004464,""feat_poverty_rate"":536.2575733828982,""overall_homeless"":-8.614317884223467e-05}"
2,feat_unemployment_rate|unsheltered_homeless,201.44817633345613,137.0744333201521,190.68810566107524,-0.0074356629575136335,-123.32355005988,"{""feat_unemployment_rate"":4045.383697736792,""unsheltered_homeless"":-9.21011565996294e-05}"
2,overall_homeless|unsheltered_homeless,201.42737481469533,137.69677429182562,190.69623619009343,-0.007521574551067944,147.27989650994994,"{""overall_homeless"":-0.0007418869220780033,""unsheltered_homeless"":0.0009280322630478059}"
1,feat_poverty_rate,201.5385189033509,136.9516485302615,190.69625991273645,-0.007521825222781331,29.483203379255116,"{""feat_poverty_rate"":771.1967587325494}"
3,feat_poverty_rate|feat_unemployment_rate|overall_homeless,201.40496452207952,137.22904414820374,190.69912566588982,-0.007552107206749259,-198.4935542040587,"{""feat_poverty_rate"":-591.5835146060792,""feat_unemployment_rate"":6483.4281560985555,""overall_homeless"":-8.701208044406984e-05}"
4,feat_median_hh_income|feat_poverty_rate|overall_homeless|unsheltered_homeless,201.3042357921513,137.2100669008064,190.7164111277604,-0.007734769741637448,53.695904789473445,"{""feat_median_hh_income"":0.0003649016089092609,""feat_poverty_rate"":510.1025541723122,""overall_homeless"":-0.0007775781133722937,""unsheltered_homeless"":0.0009719757381181374}"
4,feat_poverty_rate|feat_unemployment_rate|overall_homeless|unsheltered_homeless,201.2499293524565,137.3816729072951,190.7669617102687,-0.008269053398883619,-206.33762770593697,"{""feat_poverty_rate"":-641.910612442431,""feat_unemployment_rate"":6917.120480505069,""overall_homeless"":-0.0007912416801079603,""unsheltered_homeless"":0.0009899531483128264}"
4,feat_median_hh_income|feat_poverty_rate|feat_total_population|unsheltered_homeless,201.47193502499636,137.00063254781907,190.8116875552922,-0.008741891792119594,-1085.7271161611577,"{""feat_median_hh_income"":-0.0004278494611932971,""feat_poverty_rate"":662.9820863443832,""feat_total_population"":2.287546493586621e-05,""unsheltered_homeless"":-9.180582263255277e-05}"
