max_depth,min_samples_leaf,min_samples_split,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,r2_gap_train_minus_test,rmse_ratio_test_over_train
8,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
8,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
8,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
8,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
10,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
10,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
10,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
10,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
10,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
12,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
12,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
12,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
12,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
12,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
None,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
None,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
None,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
None,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
