hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
10,28.3,-1,0.120455594,0.063729376,89433.75,51296062,79024,39158
21,27.8,3.3,0.120455594,0.063729376,89433.75,51296062,79024,39158
23,30,7.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
24,32.2,5.6,0.120455594,0.063729376,89433.75,51296062,79024,39158
29,32.2,4.4,0.120455594,0.063729376,89433.75,51296062,79024,39158
21,31.7,1.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
30,32.2,6.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
82,32.8,8.3,0.120455594,0.063729376,89433.75,51296062,79024,39158
123,37.2,12.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
262,38.3,16.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
140,37.2,11.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
251,38.3,15,0.120455594,0.063729376,89433.75,51296062,79024,39158
305,37.2,18.3,0.120455594,0.063729376,89433.75,51296062,79024,39158
382,37.2,18.9,0.120455594,0.063729376,89433.75,51296062,79024,39158
221,34.4,17.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
369,37.2,16.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
432,37.8,17.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
440,37.8,13.9,0.120455594,0.063729376,89433.75,51296062,79024,39158
469,38.3,17.2,0.120455594,0.063729376,89433.75,51296062,79024,39158
302,37.8,17.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
248,36.7,11.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
191,35,14.4,0.120455594,0.063729376,89433.75,51296062,79024,39158
166,34.4,11.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
159,33.3,16.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
83,32.2,8.9,0.120455594,0.063729376,89433.75,51296062,79024,39158
107,33.3,7.2,0.120455594,0.063729376,89433.75,51296062,79024,39158
77,32.2,12.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
31,31.1,0.6,0.120455594,0.063729376,89433.75,51296062,79024,39158
72,32.2,8.9,0.120455594,0.063729376,89433.75,51296062,79024,39158
23,28.9,3.3,0.120455594,0.063729376,89433.75,51296062,79024,39158
23,28.3,1.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
19,26.1,-2.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
19,27.2,-2.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
31,30.6,-0.5,0.120455594,0.063729376,89433.75,51296062,79024,39158
26,27.8,5,0.120455594,0.063729376,89433.75,51296062,79024,39158
12,27.8,-3.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
7,25,-8.2,0.120455594,0.063729376,89433.75,51296062,79024,39158
11,23.9,-6.6,0.120455594,0.063729376,89433.75,51296062,79024,39158
8,24.4,0,0.120455594,0.063729376,89433.75,51296062,79024,39158
12,22.2,-2.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
11,28.3,-16.6,0.120455594,0.063729376,89433.75,51296062,79024,39158
6,22.2,-16.6,0.120455594,0.063729376,89433.75,51296062,79024,39158
3,20.6,-2.7,0.143754067,0.066437857,65780.75,50440323,37503,14843
4,22.2,0,0.143754067,0.066437857,65780.75,50440323,37503,14843
2,16.7,-3.8,0.143754067,0.066437857,65780.75,50440323,37503,14843
2,18.9,-4.9,0.143754067,0.066437857,65780.75,50440323,37503,14843
4,23.9,-4.9,0.143754067,0.066437857,65780.75,50440323,37503,14843
2,22.2,-2.1,0.143754067,0.066437857,65780.75,50440323,37503,14843
3,21.1,-4.9,0.143754067,0.066437857,65780.75,50440323,37503,14843
10,25,-3.8,0.143754067,0.066437857,65780.75,50440323,37503,14843
10,29.4,4.4,0.143754067,0.066437857,65780.75,50440323,37503,14843
6,27.2,5,0.143754067,0.066437857,65780.75,50440323,37503,14843
7,28.9,6.7,0.143754067,0.066437857,65780.75,50440323,37503,14843
