target_hri_rate,feat_mean_tmax_c_week,feat_max_tmax_c_week,feat_temp_range_c_week,feat_heat_intensity,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,record_year,region_label
533.0,36.653571428571425,39.3,8.824999999999996,2.646428571428572,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
125.0,31.457142857142856,33.225,3.1499999999999986,1.767857142857146,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
101.0,32.114285714285714,34.175,4.149999999999999,2.0607142857142833,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
114.0,33.86071428571429,35.125,3.5500000000000007,1.2642857142857125,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
82.0,25.95,31.0,8.3,5.050000000000001,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
77.0,28.175,30.875,4.850000000000001,2.6999999999999993,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
151.0,30.553571428571427,31.275,1.5499999999999972,0.7214285714285715,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
149.0,30.182142857142857,31.55,3.0749999999999993,1.3678571428571438,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
108.0,29.439285714285713,31.025,3.5,1.5857142857142854,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
115.0,30.4,31.9,3.4499999999999993,1.5,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
138.0,30.017857142857142,32.825,4.6250000000000036,2.8071428571428605,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
172.0,31.95,33.0,2.5500000000000007,1.0500000000000007,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
383.0,33.725,35.65,2.9499999999999957,1.9249999999999972,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
593.0,35.528571428571425,37.5,3.0249999999999986,1.971428571428575,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
844.0,36.93571428571429,38.25,3.549999999999997,1.3142857142857096,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
1534.0,38.35,38.85,1.0500000000000045,0.5,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
1196.0,38.28928571428571,39.05,1.6749999999999972,0.7607142857142861,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
593.0,36.22857142857143,37.599999999999994,3.0999999999999943,1.3714285714285666,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
462.0,35.17857142857143,37.675,4.174999999999997,2.4964285714285666,0.1206137289794394,0.0623313840748514,86771.0,51097595,2023,Region 9
